load,strategy,time_seconds,time_min,mean_path_fsl_sum_dB,mean_max_solar_penalty_dB,mean_max_doppler_penalty_mdB,mean_max_edfa_gain_deg_dB,mean_max_xt_noise_dBm,mean_osnr_dB,mean_abs_osnr_delta_dB
Medium,Baseline,1500.0,25.0,1524.0769949233716,0.6418305639241869,0.09741721691783307,0.07301676141484136,-137.3963791574659,15.813954196467925,10.488101825457948
Medium,Baseline,1800.0,30.0,1523.1919878544895,0.38289180820902635,0.14352843482264668,0.07426363476147321,-137.05233004703896,16.395529922557184,9.951558366857961
Medium,Baseline,2100.0,35.0,1521.263783435762,3.417997242245601,0.23940340266795224,0.07590209994490672,-136.15401865097968,14.099735319887017,11.428484558991515
Medium,Baseline,2400.0,40.0,1518.169581078081,0.912690090402438,0.20773568674516865,0.07346017272661702,-133.7942360228548,16.22544641371545,10.475332540573357
Medium,Baseline,2700.0,45.0,1515.3452115407456,10.549454532859578,0.17326342816997126,0.07053130344241824,-131.90652499334578,8.784326278870365,6.580006622169758
Medium,Baseline,3000.0,50.0,1515.3706864942944,3.6103209547025306,0.24291564977755623,0.06636478298728446,-131.99331895713382,14.391871614561591,10.556005888613763
Medium,Baseline,3300.0,55.0,1518.1617728088663,4.129129260837984,0.3621887858139206,0.06731900347650582,-134.00240762598986,13.498385425264699,13.093107526765742
Medium,Baseline,3600.0,60.0,1521.4441646422963,5.973021523410316,0.3568881348938931,0.0676537581158674,-136.30715509302996,11.560732091268457,14.853912448465945
Medium,QoT-GLR,0.0,0.0,1510.159984093455,0.9857389513983346,0.20269746297779814,0.08626769427389858,-136.23561462946623,15.93634558783696,0.0
Medium,QoT-GLR,300.0,5.0,1509.8507259275505,3.946730111324509,0.18744118698320095,0.08625361956921823,-136.67479292962375,13.40196613330723,3.03888415564973
Medium,QoT-GLR,600.0,10.0,1509.4997336923389,1.850393130868381,0.20276055210877075,0.0835195859511866,-136.72689507144446,15.537815980088666,2.5372887310309236
Medium,QoT-GLR,900.0,15.0,1509.310079710524,2.0508764987328294,0.2017304457097089,0.07960182402754086,-136.7959788620077,15.079688390531707,3.1342560955790075
Medium,QoT-GLR,1200.0,20.0,1509.2758753695941,4.971014971972689,0.22680601439026893,0.07587656117192332,-136.66331702670027,12.702762584538474,5.492758565172096
Medium,QoT-GLR,1500.0,25.0,1509.338706585658,0.6418280700167327,0.1913855212400407,0.07527987371321113,-135.69993851770226,16.161263588674,2.2069099361985636
Medium,QoT-GLR,1800.0,30.0,1509.5930137836344,0.0,0.2035677479264711,0.07466899605817633,-135.46097736077547,16.77797881302514,1.5802797773085533
Medium,QoT-GLR,2100.0,35.0,1509.8882846460544,2.1811999086386438,0.24480391515149527,0.07355762265713879,-136.2665424023076,15.190186909427567,3.061697519706663
Medium,QoT-GLR,2400.0,40.0,1510.1151243488575,1.8261328469437896,0.23862884262540957,0.07221014751818393,-136.5076490348927,15.234929229162985,2.8999454167752976
Medium,QoT-GLR,2700.0,45.0,1510.2231962284902,1.052177662063958,0.22216867042259525,0.07022390116559238,-136.36932050388359,15.945669277329534,1.8719642275489494
Medium,QoT-GLR,3000.0,50.0,1510.0433659181567,1.1127715619741918,0.22234726219339226,0.06731768314332903,-136.3666384738368,15.985303122871676,1.831244147330659
Medium,QoT-GLR,3300.0,55.0,1509.6854367142423,2.9065176720559633,0.2314639981539427,0.06711642200082343,-136.83420765204977,14.172531263253825,3.8602337565086966
Medium,QoT-GLR,3600.0,60.0,1509.3850715196081,1.0014449935169258,0.24307392408019962,0.06669906378342463,-136.62841197972966,15.874529788690138,2.298021398348408
High,Baseline,0.0,0.0,1499.2459306006108,6.652186749872078,0.18302263547697734,0.06934092011339253,-132.30859243926483,11.727988398038356,0.0
High,Baseline,300.0,5.0,1501.0408615004499,4.199283424523776,0.2158525086819232,0.07221593859850711,-133.38638456534005,13.760669308494826,2.934636080146041
High,Baseline,600.0,10.0,1504.3101779581934,2.51690857096184,0.2500955739059514,0.07730884352365569,-135.4281136167747,14.974069510315475,5.847974875405215
High,Baseline,900.0,15.0,1507.004498838166,3.3654298649950953,0.22515391790925535,0.08369546056294887,-137.37901904434477,14.161691180832294,8.326141522102184
High,Baseline,1200.0,20.0,1508.2162342382017,3.6715351697185064,0.1665383561407888,0.08798503039723034,-138.03342013068215,13.708756634643093,8.478158739539563
High,Baseline,1500.0,25.0,1508.034854416695,1.0568147192869146,0.12820083655017991,0.09189717199612693,-137.4203808799836,16.361927201310692,6.580013796631313
High,Baseline,1800.0,30.0,1506.9090451459733,0.4492118836578544,0.17228360867041126,0.08955049705822173,-136.76770446054468,16.808558774731797,6.729732860825729
High,Baseline,2100.0,35.0,1504.8053033612075,0.8276343975593491,0.22985301051857354,0.08307902148525408,-135.5819188975316,16.710466455283743,6.959954304993126
High,Baseline,2400.0,40.0,1501.9647352263623,2.51689818667961,0.22328017177900514,0.07274961950177274,-133.69301145338304,15.565438437187831,7.687686495136768
High,Baseline,2700.0,45.0,1499.5826596171325,4.989583162999536,0.2125650168825628,0.06407046475575026,-132.4182037308106,13.446095977132632,7.4574376690064
High,Baseline,3000.0,50.0,1499.715542194678,4.983264191933091,0.2530606329702221,0.0618580824375967,-132.6606793311815,13.261144893427028,5.391022558454065
High,Baseline,3300.0,55.0,1502.4739046102802,1.3994517949729175,0.3641985763945586,0.06291936682096588,-134.16175239961697,16.03144699734927,7.350470631159831
High,Baseline,3600.0,60.0,1505.6735560243803,2.686772648743307,0.33823153745321166,0.06741741352897017,-136.42615096988047,14.663367235641012,8.679765133937531
High,QoT-GLR,0.0,0.0,1504.5529108263543,0.49290125014900693,0.20369601811369722,0.0750049671122899,-144.4333836391454,16.743389147545347,0.0
High,QoT-GLR,300.0,5.0,1504.5776638402829,1.2441939846835919,0.2031335733995252,0.0766069008172042,-144.61762181508237,15.990885251991932,1.011989649704343
High,QoT-GLR,600.0,10.0,1504.5650538802954,0.6380686588023367,0.2090492337545702,0.07764229958499325,-144.51387839675215,16.605375978669784,1.1834577786117857
High,QoT-GLR,900.0,15.0,1504.4693895206956,1.2755995903022426,0.21081491877905875,0.08307092016133177,-144.29281321736892,16.013467426321167,1.345970109674144
High,QoT-GLR,1200.0,20.0,1504.271407603854,4.033206635208147,0.21583143991000886,0.08442057259163459,-143.82075538867764,14.038366998385918,4.176405521359125
High,QoT-GLR,1500.0,25.0,1504.0591307555744,1.2747706868444852,0.21947789382151897,0.08593059610984956,-143.51763861625034,16.55558041879653,1.2948421687457188
High,QoT-GLR,1800.0,30.0,1504.001127565417,0.10786563216171491,0.23231144735306514,0.08384429674259503,-143.60340397710107,17.167656003412823,1.2991937510665468
High,QoT-GLR,2100.0,35.0,1504.1462417742105,1.6358265709848427,0.2403777043031621,0.08006994644388643,-144.06241958607671,16.05405395330222,2.2673497685480934
High,QoT-GLR,2400.0,40.0,1504.3625576112627,3.4307709383919955,0.2456198753186518,0.07713078716397877,-144.48525609680794,14.547664973281552,3.5365113197909097
High,QoT-GLR,2700.0,45.0,1504.5207565395808,1.0497403522401907,0.2396398338812871,0.07253483688835496,-144.41943569814185,16.402957306495875,1.3876170590550527
High,QoT-GLR,3000.0,50.0,1504.5688598033587,1.768122148662197,0.22967374733487006,0.06934231865917904,-144.51344762273328,15.863633135260255,1.8282914565969997
High,QoT-GLR,3300.0,55.0,1504.577209964854,2.386293891992104,0.2575071362392197,0.06886408014037444,-144.5454588683451,14.998820232022165,2.8860913118375002
High,QoT-GLR,3600.0,60.0,1504.535931720961,1.2432053964975855,0.25613012423337783,0.06855174443660378,-144.5013621597813,15.949698219989287,2.1495698081100567
