strategy,request_id,time_seconds,osnr_dB,ber,log10_ber,min_sun_angle_deg,max_link_distance_km,load
Baseline,5,1500.0,17.691380594191166,1.297543616059755e-12,-11.886878034715956,64.9067990783995,3899.742051799073,Low
Baseline,6,1500.0,-9.997166256631315,0.3863789521755274,-0.4129865396141911,10.516735985423148,3899.7420517990777,Low
Baseline,7,1500.0,16.036734766925992,3.6420988960500605e-09,-8.438648265727894,33.05214999778267,3899.7420517990727,Low
Baseline,8,1500.0,17.73373235652568,1.0159464759400331e-12,-11.99312917179246,30.8586293595917,3899.7420517990745,Low
Baseline,9,1500.0,14.109801106317931,1.7985763437387655e-06,-5.745071123060489,29.099369080743553,3899.742051799076,Low
Baseline,10,1500.0,15.078827222391663,1.1079422844635383e-07,-6.955482862524429,30.9137619031139,3899.7420517990713,Low
Baseline,1,1800.0,16.97490401141909,5.818797304308769e-11,-10.235166771033677,47.80104282512882,3899.7420517990768,Low
Baseline,2,1800.0,14.706068020339275,3.4770690256866586e-07,-6.458786687752959,12.190521793724567,3899.742051799074,Low
Baseline,3,1800.0,16.94676382775451,6.674463699054746e-11,-10.1755836246298,50.481561266612275,3899.7420517990704,Low
Baseline,4,1800.0,16.113466787379114,2.680471623184898e-09,-8.571788786073238,34.80886973938434,3899.742051799076,Low
Baseline,5,1800.0,18.412617801043524,1.4359340943782837e-14,-13.842865492617866,61.60769398448512,3899.742051799077,Low
Baseline,6,1800.0,15.102953120928685,1.025477822170923e-07,-6.989073727604674,18.260438143964745,3899.7420517990713,Low
Baseline,7,1800.0,16.029231498085124,3.751875194219903e-09,-8.425751616818324,40.101217111232685,3899.742051799072,Low
Baseline,8,1800.0,17.963760261612645,2.580318445118975e-13,-12.588326693097368,47.80104282512882,3899.7420517990768,Low
Baseline,9,1800.0,14.353506878881001,9.431479098977672e-07,-6.025420193354728,42.563668091021356,3899.742051799075,Low
Baseline,10,1800.0,15.207125477812678,7.307896590337802e-08,-7.136207606716793,18.526341865325115,3899.742051799073,Low
Baseline,1,2100.0,16.958088295694274,6.316604801604663e-11,-10.199516293891026,64.72272453354762,3899.7420517990763,Low
Baseline,2,2100.0,17.912159687456693,3.530987887406576e-13,-12.452103772224925,20.214628120356917,3899.7420517990704,Low
Baseline,3,2100.0,17.41905256931404,5.923470387259801e-12,-11.227423778336636,51.08684195673279,3899.7420517990668,Low
Baseline,4,2100.0,16.102203064726666,2.8047818406613266e-09,-8.552100913046527,34.185239256312336,3899.742051799074,Low
Baseline,5,2100.0,19.36732161723063,1.0564173356576035e-17,-16.976164480696216,54.33659162626377,3899.7420517990704,Low
Baseline,6,2100.0,15.337238967596265,4.7331423254203946e-08,-7.324850436116123,13.99909487411967,3899.7420517990763,Low
Baseline,7,2100.0,16.023614013465874,3.8360966964823985e-09,-8.416110454103189,50.84632352470526,3899.742051799071,Low
Baseline,8,2100.0,18.323189585279472,2.614306650472415e-14,-13.582643472303628,54.33659162626377,3899.7420517990763,Low
