load,strategy,request_id,hops,max_distance_km,max_fsl_dB,max_path_fsl_sum_dB,max_solar_penalty_dB,max_doppler_penalty_mdB,max_edfa_gain_deg_dB,max_edfa_nf_inc_dB,max_xt_noise_dBm,min_osnr_dB,osnr_range_dB,osnr_std_dB
Medium,Baseline,19,9,3899.7420517990818,269.9982809489243,2411.6921216682485,52.585340281181416,0.5175636329889266,0.23070351117214677,0.46140702234429354,-125.87603333511922,-29.22251091939847,44.744334105045326,15.548659703235739
Medium,Baseline,20,8,3899.742051799076,269.9982809489243,2154.422405583726,52.58533734679065,0.5104053749774847,0.21794719143029007,0.43589438286058013,-128.87978137486823,-29.222532770671318,43.988970885280054,15.940993095031397
Medium,Baseline,21,12,3899.742051799083,269.9982809489243,3226.7537382834666,52.585340281181416,0.5104053749774847,0.22078556233579377,0.44157112467158754,-128.87978137169375,-27.172497420866026,41.519089765152486,13.620013001666662
Medium,Baseline,22,4,3899.742051799073,269.9982809489243,1073.8296687481898,0.0,0.4682642900163628,0.21497118154972683,0.42994236309945366,-125.88290792021839,17.563452008551746,2.8696377391561327,1.042310360272142
Medium,Baseline,23,10,3899.7420517990813,269.9982809489243,2688.1454836443336,48.40358908047642,0.530504987073825,0.21193671791282426,0.4238734358256485,-127.25368808892172,-26.23596333634513,40.61069049187331,10.677214181313914
Medium,Baseline,24,5,3899.742051799076,269.9982809489243,1340.0170442802068,0.0,0.49859357584039227,0.22374553579892367,0.44749107159784735,-128.87588297665673,16.976198613268938,2.2591176215956352,0.7953025216877524
Medium,Baseline,25,3,3899.7420517990754,269.9982809489243,808.1414537304911,0.0,0.5256252489018152,0.10568747205330141,0.21137494410660282,-129.0345720543054,17.929273117194924,0.9563640862541334,0.33837031249842076
Medium,Baseline,26,3,3899.742051799076,269.9982809489243,805.8262552608765,0.0,0.5050318093193115,0.21193671791282426,0.4238734358256485,-129.50365396639052,18.426811741532095,2.4661233742067417,0.8386597676914423
Medium,Baseline,27,7,3899.7420517990813,269.9982809489243,1874.2622624159135,0.0,0.530504987073825,0.13623504125662658,0.27247008251325316,-127.1267952365817,15.309778104934228,0.49519809895607203,0.17216015911724308
Medium,Baseline,28,6,3899.74205179908,269.9982809489243,1618.1404401885281,51.69786813616524,0.5050318093193115,0.13207270546148617,0.26414541092297233,-132.0249006196088,-29.530122261411854,44.5959982403069,17.383978258149988
Medium,Baseline,29,6,3899.7420517990745,269.9982809489243,1608.865955322907,52.091398612402045,0.43126783526090495,0.13499382542782873,0.26998765085565746,-129.06055994197845,-30.01404583166235,46.17594847034566,17.69171449449467
Medium,Baseline,30,7,3899.7420517990818,269.9982809489243,1886.3271944266899,52.608883103051326,0.5050318093193115,0.22078556233579377,0.44157112467158754,-129.01460067981563,-27.17246153475434,42.032723896762725,14.026762109256804
Medium,Baseline,31,5,3899.742051799083,269.9982809489243,1342.3211038066224,50.066978996860385,0.4728358822036867,0.14295352442451456,0.2859070488490291,-128.9033719551515,-27.904281303903407,44.33908008836637,14.48277851623535
Medium,Baseline,32,4,3899.7420517990713,269.9982809489243,1072.6118468216366,0.0,0.43492580406498027,0.20343058324918484,0.4068611664983697,-126.49335400955748,17.620016715562883,2.3682542483724163,0.8025304598031306
Medium,Baseline,33,7,3899.742051799081,269.9982809489243,1879.817712602351,0.0,0.530504987073825,0.22002713786013386,0.44005427572026773,-129.03457205667192,14.775170445349247,0.4919064844616372,0.1643788227076615
Medium,Baseline,34,2,3899.7420517990718,269.9982809489243,538.1966802632467,44.89449314298245,0.403073448457108,0.06469425210516495,0.1293885042103299,-132.59350178330405,-22.726435569829796,44.337182000231586,11.543117847146325
Medium,Baseline,35,3,3899.742051799082,269.9982809489243,809.9948428467728,0.0,0.005040512130594193,0.046524079232548754,0.09304815846509751,-145.183598229229,17.375710683894862,0.018407763387877196,0.006847052051952821
Medium,Baseline,36,4,3899.7420517990718,269.9982809489243,1072.5909070785742,0.0,0.4682642900163628,0.06992093675405553,0.13984187350811106,-127.11497038609991,17.8144012196948,2.17832942932084,0.7335549837725128
Medium,Baseline,37,6,3899.7420517990818,269.9982809489243,1618.1404401885281,49.24571628217034,0.5050318093193115,0.22078556233579377,0.44157112467158754,-126.00430072391262,-27.172454197071403,42.17884946708766,11.176075535202388
