strategy,request_id,accepted,hops,wavelength,initial_osnr_dB,initial_ber,q_factor,load
Baseline,182,True,3,2,19.468077423718693,4.485197599767971e-18,8.58644214793565,High
Baseline,183,True,7,12,15.668985408222298,1.4743789608685802e-08,5.54445224740976,High
Baseline,184,True,6,4,16.125172964388717,2.556802555721445e-09,5.843432412714196,High
Baseline,185,True,5,1,15.960651517655474,4.910480918184075e-09,5.733792244275994,High
Baseline,186,True,5,7,17.396262413722614,6.6980245061939255e-12,6.7642943482847935,High
Baseline,187,True,9,14,14.482537948169178,6.605383425038598e-07,4.836556598849983,High
Baseline,188,True,7,11,15.867450579451386,7.032455071303436e-09,5.672596673465582,High
Baseline,189,True,4,20,18.380682231496735,1.7810157233243563e-14,7.57606144906771,High
Baseline,190,True,5,11,16.0131862848072,3.997185124973671e-09,5.768576962424261,High
Baseline,191,True,2,1,19.122853644036443,7.797144639445223e-17,8.251863952107945,High
Baseline,192,True,4,0,16.14254281229838,2.383189897140558e-09,5.855129670271655,High
Baseline,193,True,11,15,13.914929912718183,2.94079824711842e-06,4.530601585265446,High
Baseline,194,True,8,21,15.633229085204317,1.6789169322127794e-08,5.5216748766561325,High
Baseline,195,True,3,13,18.828000510400404,7.530380854797755e-16,7.976445505940368,High
Baseline,196,True,7,3,15.144635599543083,8.963210141179203e-08,5.219647287252483,High
Baseline,197,True,6,10,16.55332684728654,4.160231447244248e-10,6.1386902403743075,High
